title,city,price,link
"Той-пудель, и еркширский терьер - мальчик 10000","Республика Северная Осетия — Алания, Моздокский р-н, с. Раздольное",10 000  ₽,https://www.avito.ru//severnaya_osetiya_kizlyar/sobaki/toy-pudel_i_erkshirskiy_terer_-_malchik_10000_1908594931
Той Пудель девочка коричневая,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/toy_pudel_devochka_korichnevaya_1900451020
Очаровательные щенки той- пуделя,"Смоленская область, Смоленск",20 000  ₽,https://www.avito.ru//smolensk/sobaki/ocharovatelnye_schenki_toy-_pudelya_1924394483
Той-пудель,"Кабардино-Балкарская Республика, Нальчик",Цена не указана,https://www.avito.ru//nalchik/sobaki/toy-pudel_1929741231
Чёрненький той пудель,Севастополь,30 000  ₽,https://www.avito.ru//sevastopol/sobaki/chernenkiy_toy_pudel_1593438050
Той пудель - крошка с ладошку,"Тюменская область, Тюмень",40 000  ₽,https://www.avito.ru//tyumen/sobaki/toy_pudel_-_kroshka_s_ladoshku_1933992287
Щенки той пуделя,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/schenki_toy_pudelya_1942042322
Той пудель,"Свердловская область, Екатеринбург",Цена не указана,https://www.avito.ru//ekaterinburg/sobaki/toy_pudel_1929798607
Детки той Пуделя,"Краснодарский край, Краснодар",Цена не указана,https://www.avito.ru//krasnodar/sobaki/detki_toy_pudelya_1670841088
Той пудель,Санкт-Петербург,Цена не указана,https://www.avito.ru//sankt-peterburg/sobaki/toy_pudel_1930849531
"Пудель, Той-пудель, 24 см в холке, чемпион России","Алтайский край, Барнаул",Цена не указана,https://www.avito.ru//barnaul/sobaki/pudel_toy-pudel_24_sm_v_holke_chempion_rossii_1862589721
Той-пудель,"Пермский край, Пермь",5 000  ₽,https://www.avito.ru//perm/sobaki/toy-pudel_1933455664
Той пудель,"Ивановская область, Иваново",5 000  ₽,https://www.avito.ru//ivanovo/sobaki/toy_pudel_1944564013
Той-пудель,"Хабаровский край, Хабаровск",3 000  ₽,https://www.avito.ru//habarovsk/sobaki/toy-pudel_1943482998
